Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-06-27,3716.3037109375,3723.7191241208575,3606.679947095457,3618.865541478185,4526556
2024-06-28,3687.96484375,3740.722345851188,3682.013879060851,3700.8591386940006,2731571
2024-07-01,3757.914794921875,3780.1135277066987,3668.930984521538,3668.930984521538,2658723
2024-07-02,3794.944091796875,3800.61185331036,3762.023982045802,3772.462155624164,2307449
2024-07-03,3745.681640625,3803.162277059337,3735.9992153513335,3797.399960989219,1821198
2024-07-04,3798.2978515625,3823.236142486343,3761.5992313523902,3778.366360434806,2518001
2024-07-05,3789.654052734375,3803.7761780539627,3767.171887521997,3787.953678275629,1668616
2024-07-08,3772.083984375,3808.027083028784,3757.7729794930797,3799.2892844506714,1758882
2024-07-09,3764.810302734375,3785.072502499781,3754.9862757638116,3764.3379893103715,1305801
2024-07-10,3692.6884765625,3781.6252453420952,3685.9344858860404,3763.110464235507,2669716
2024-07-11,3706.4326171875,3759.615159156207,3679.8887389846327,3713.3284398600626,4872189
2024-07-12,3952.27197265625,3967.386003323572,3751.3969204452933,3759.6151284962884,13509164
2024-07-15,3938.33837890625,4005.217774223689,3926.860793883842,4001.1560633368813,4848030
2024-07-16,3947.075927734375,3962.2840497986936,3915.3834227252332,3940.9829005455586,2029521
2024-07-18,4076.583740234375,4085.510647418051,3929.6472354356283,3929.6472354356283,5613364
2024-07-19,4073.60205078125,4126.955499689888,4057.3641651955472,4087.8043639433604,3903354
2024-07-22,4059.353271484375,4090.2197297994894,4038.1917288129493,4071.283309031316,1896386
2024-07-23,4073.55517578125,4129.749091200278,4039.4220034038367,4055.2340980748054,2365208
2024-07-24,4077.247802734375,4108.350964066985,4041.126675185908,4059.4949095439492,1809793
2024-07-25,4092.633056640625,4112.042883745572,4046.901795265646,4066.5954836949645,2810342
2024-07-26,4154.5078125,4187.2679052166895,4106.4090376287495,4118.670552129421,3552210
2024-07-29,4148.1171875,4195.363458517048,4138.5542038316435,4180.214323934273,1746803
2024-07-30,4133.20458984375,4164.118198879963,4097.177778242139,4157.585227320139,1797906
2024-07-31,4152.14111328125,4179.267439518362,4113.936797622856,4118.670902108038,2330091
2024-08-01,4163.26611328125,4184.285259071731,4132.920227203137,4165.443616342355,2202244
2024-08-02,4055.281005859375,4164.118251496919,4042.9251782382544,4132.873162297419,2811282
2024-08-05,3934.087890625,4013.5736879846177,3891.907205581687,4013.5736879846177,2787771
2024-08-06,3949.37939453125,4031.7999662691227,3939.532087639672,3949.14268931395,2203067
2024-08-07,3977.073486328125,4019.207010572527,3957.994677970089,4003.158213602941,1237666
2024-08-08,3950.6572265625,4006.945912072743,3938.7748095989155,3958.6580478204482,2441283
2024-08-09,4003.86865234375,4027.4443989451242,3981.902223791584,3992.7435074037467,1302536
2024-08-12,3972.52880859375,4013.573584922349,3963.723559610809,4005.0521972685856,936912
2024-08-13,3973.760498046875,4008.8400304397005,3960.5521604462133,3988.956789854147,1495593
2024-08-14,4066.83203125,4077.1999039105713,3965.42743135513,3985.168737449799,3226545
2024-08-16,4181.20751953125,4191.575391499624,4095.0944511200714,4118.670194945417,3457058
2024-08-19,4251.22607421875,4255.250063264502,4156.875458820732,4185.8954285347645,2055210
2024-08-20,4282.75439453125,4322.237007322546,4260.693654534821,4265.427758595415,2212298
2024-08-21,4309.45458984375,4317.502566118313,4253.6393224018875,4277.736095114591,1896990
2024-08-22,4262.58740234375,4318.402675534502,4258.042847258311,4317.5030108146375,1829872
2024-08-23,4226.51416015625,4266.375416631709,4218.0875457377415,4260.694490644183,1809253
2024-08-26,4263.013671875,4310.0703901887255,4246.491463306979,4250.278746663329,1844164
2024-08-27,4257.99462890625,4270.161367393824,4248.194942174438,4265.4272638823,930697
2024-08-28,4266.42236328125,4319.870590915642,4220.264841898864,4259.510755261752,1848058
2024-08-29,4271.86669921875,4313.716371329259,4222.821557534789,4222.821557534789,2133641
2024-08-30,4311.58544921875,4348.038051973605,4249.14242918416,4260.693828489569,3637222
2024-09-02,4280.625,4344.01485239942,4272.056454670049,4332.653000126362,1216500
2024-09-03,4272.38720703125,4313.6210706253505,4256.811818932973,4280.62427113772,1717263
2024-09-04,4241.046875,4248.384735865379,4200.759836723105,4238.869372185236,1265505
2024-09-05,4237.9228515625,4259.746886626945,4217.281880213047,4242.704111797141,1688793
2024-09-06,4219.74365234375,4278.636091754635,4203.884403748528,4236.029155230157,1649179
2024-09-09,4212.92626953125,4251.462060686222,4194.889518372097,4218.086627772867,1184938
2024-09-10,4268.1259765625,4298.519014859862,4204.310350980651,4206.20399246566,1385591
2024-09-11,4241.14306640625,4307.420541525637,4233.473723250869,4281.004326048192,1325919
2024-09-12,4277.45263671875,4291.5601745835365,4195.6469473824145,4270.398636628928,2742216
2024-09-13,4282.091796875,4305.194131685647,4265.427658509752,4289.098178257309,1458786
2024-09-16,4273.23974609375,4304.295289007335,4255.43969677022,4286.2585344411245,1155120
2024-09-17,4266.04345703125,4294.590014445038,4228.502101148829,4273.239388269134,1699364
2024-09-18,4115.025390625,4257.900566019319,4091.2129384450927,4257.900566019319,2961779
2024-09-19,4067.684814453125,4187.031875012309,4054.097841081827,4156.591210999933,2927551
2024-09-20,4057.033203125,4100.3978822358085,4002.6857702859393,4087.3314750703935,5447908
2024-09-23,4041.5048828125,4080.229763925027,4026.8291593303416,4071.3297402117255,1702319
2024-09-24,4044.156005859375,4062.808562887148,4014.5206960245882,4025.551067266487,3012026
2024-09-25,4047.42236328125,4061.4827451400292,4014.5203392742264,4026.21366904617,2713073
2024-09-26,4064.228515625,4087.2360774502895,4033.456837871287,4033.456837871287,3964251
2024-09-27,4079.5673828125,4145.181886032281,4071.37701220358,4104.468587471434,3012477
2024-09-30,4041.5048828125,4070.1462141244547,4033.504061536598,4058.926294354151,2503416
2024-10-01,4059.873291015625,4067.305927628493,4017.313968463482,4029.2435420878182,1823365
2024-10-03,4007.65625,4051.446717559506,3986.116074065324,4035.918946931116,3350119
2024-10-04,4026.119140625,4069.436196462167,3999.4186065272825,4000.318271301223,2965463
2024-10-07,4045.62353515625,4068.7258712834955,4004.483984564525,4046.6175121163583,1472619
2024-10-08,4027.065673828125,4051.8249459382696,3980.3875920827627,4045.386749254377,1541867
2024-10-09,4026.781982421875,4066.595614866151,4020.8643520160745,4033.456884593668,1082504
2024-10-10,4002.590087890625,4065.5065138830532,3975.3218342504942,4027.065497608203,2378875
2024-10-11,3928.549072265625,4016.36670200166,3893.753407653234,3922.6785983438544,5759183
2024-10-14,3916.666015625,3943.8871125530773,3902.9847329926533,3919.837957643063,2137590
2024-10-15,3897.87158203125,3948.1954760800095,3877.2310740598678,3911.3637780765134,2759474
2024-10-16,3877.184326171875,3896.168132074836,3850.910045329815,3867.7635041374742,2359151
2024-10-17,3890.48681640625,3910.3228978529323,3875.2902957519555,3894.0845506582914,2522659
2024-10-18,3913.3134765625,3935.2384902660306,3872.4535818662375,3881.944889664929,2361000
2024-10-21,3872.311279296875,3929.35413147785,3862.9622484885167,3922.3779276034525,1595450
2024-10-22,3811.234375,3881.75483326371,3802.5499216715493,3859.1654759681237,1928049
2024-10-23,3859.40283203125,3904.2965301967497,3791.919544419266,3796.143361546141,1966476
2024-10-24,3841.986083984375,3871.504141566946,3800.319338767848,3800.319338767848,2676744
2024-10-25,3851.1455078125,3883.8430156937015,3827.5595160672574,3850.670942439126,1759676
2024-10-28,3882.75146484375,3923.7063623671393,3844.928513292037,3861.9653632236445,1532534
2024-10-29,3867.94482421875,3894.757766071196,3853.565587028902,3887.4970090191655,1445885
2024-10-30,3876.866455078125,3898.0796180034267,3853.517979890609,3867.7074369038137,1935002
2024-10-31,3766.577880859375,3870.839986500922,3758.557772361112,3862.962154926698,3740372
2024-11-01,3781.52685546875,3795.5265346519595,3773.7915322018357,3786.889583476844,154895
2024-11-04,3762.496826171875,3788.8352062781723,3714.1861603951875,3764.537596456188,2269192
2024-11-05,3769.330322265625,3783.234994421101,3740.61911840681,3740.61911840681,967590
2024-11-06,3929.06884765625,3938.7024316660963,3773.031851752117,3799.9398000465167,3792017
2024-11-07,3939.746826171875,3991.8540128312807,3877.246703910295,3957.5907627391994,3724349
2024-11-08,3936.045166015625,3957.6378902806014,3908.1880861984155,3943.6382119110012,1648039
2024-11-11,3985.115478515625,4018.9041625726113,3908.188152909336,3918.2017604204366,1406487
2024-11-12,3983.88134765625,4003.4335339434815,3952.512761507312,4001.5352724290465,1587640
2024-11-13,3939.22509765625,3983.2646739668166,3920.9065952008664,3965.563477283957,1098813
2024-11-14,3935.000732421875,3948.383567490613,3907.049112395529,3924.655300859059,1825432
2024-11-18,3815.03076171875,3998.6875479838523,3787.221186498161,3998.6875479838523,3313944
